compound_name	mzmed	rtmed	Scan	ionmode	pccid
3-Isopropylmalate	175.06099292	149.706	131	NEG	5462261
3-Isopropylmalate	175.06085558	148.935	132	NEG	5462261
3-Isopropylmalate	175.06099292	149.8272	133	NEG	5462261
3-Isopropylmalate	175.0608861	148.1658	134	NEG	5462261
3-Isopropylmalate	175.06099292	149.706	135	NEG	5462261
3-Isopropylmalate	175.06085558	148.935	136	NEG	5462261
3-Isopropylmalate	175.06099292	149.8272	137	NEG	5462261
3-Isopropylmalate	175.0608861	148.1658	138	NEG	5462261
2-hydroxydecanoic acid	187.13381078	379.9602	148	NEG	21488
2-hydroxydecanoic acid	187.13381078	380.0118	149	NEG	21488
2-hydroxydecanoic acid	187.13391759	379.2468	150	NEG	21488
2-hydroxydecanoic acid	187.13396337	378.1938	151	NEG	21488
2-hydroxydecanoic acid	187.13381078	379.9602	152	NEG	21488
2-hydroxydecanoic acid	187.13381078	380.0118	153	NEG	21488
2-hydroxydecanoic acid	187.13391759	379.2468	154	NEG	21488
2-hydroxydecanoic acid	187.13396337	378.1938	155	NEG	21488
Palmitic acid	255.23275002	446.556	395	NEG	985
Palmitic acid	255.23290262	447.738	396	NEG	985
Palmitic acid	255.23303996	445.8432	397	NEG	985
Palmitic acid	255.23303996	445.8942	398	NEG	985
Palmitic acid	255.23275002	446.556	399	NEG	985
Palmitic acid	255.23290262	447.738	400	NEG	985
Palmitic acid	255.23303996	445.8432	401	NEG	985
Palmitic acid	255.23303996	445.8942	402	NEG	985
α-Linolenic acid (18_3 n−3)	277.21724213	533.0472	445	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.1042	446	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.16	447	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.2098	448	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.0472	449	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.1042	450	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.16	451	NEG	860
α-Linolenic acid (18_3 n−3)	277.21724213	533.2098	452	NEG	860
Oleic acid	281.24885204	457.38	472	NEG	445639
Oleic acid	281.24845705	456.6348	473	NEG	445639
Oleic acid	281.24885204	457.5012	474	NEG	445639
Oleic acid	281.24845705	456.7428	475	NEG	445639
Oleic acid	281.24885204	457.38	480	NEG	445639
Oleic acid	281.24845705	456.6348	481	NEG	445639
Oleic acid	281.24885204	457.5012	482	NEG	445639
Oleic acid	281.24845705	456.7428	483	NEG	445639
Stearic acid	283.26428748	475.959	484	NEG	5281
Stearic acid	283.26428748	476.01	485	NEG	5281
Stearic acid	283.2641654	477.1458	486	NEG	5281
Stearic acid	283.26428748	476.112	487	NEG	5281
Stearic acid	283.26447293	491.2122	488	NEG	5281
Stearic acid	283.26428748	475.959	489	NEG	5281
Stearic acid	283.26428748	476.01	490	NEG	5281
Stearic acid	283.2641654	477.1458	491	NEG	5281
Stearic acid	283.26428748	476.112	492	NEG	5281
Stearic acid	283.26447293	491.2122	493	NEG	5281
Eicosadienoic Acid	307.26421943	587.2008	638	NEG	6439848
Eicosadienoic Acid	307.26421943	587.253	639	NEG	6439848
Eicosadienoic Acid	307.26421943	587.304	640	NEG	6439848
Eicosadienoic Acid	307.26421943	587.3628	641	NEG	6439848
Eicosadienoic Acid	307.26421943	587.427	642	NEG	6439848
Lithocholic Acid	375.29035403	507.8088	991	NEG	9903
Lithocholic Acid	375.29035403	507.8622	992	NEG	9903
Lithocholic Acid	375.29050663	506.847	993	NEG	9903
Lithocholic Acid	375.29035403	507.9678	994	NEG	9903
Lithocholic Acid	375.29035403	520.977	995	NEG	9903
Lithocholic Acid	375.29035403	507.8088	996	NEG	9903
Lithocholic Acid	375.29035403	507.8622	997	NEG	9903
Lithocholic Acid	375.29050663	506.847	998	NEG	9903
Lithocholic Acid	375.29035403	507.9678	999	NEG	9903
Lithocholic Acid	375.29035403	520.977	1000	NEG	9903
Ursodeoxycholic Acid	391.28551198	390.8388	1011	NEG	31401
Ursodeoxycholic Acid	391.28551198	390.8922	1012	NEG	31401
Deoxycholic Acid	391.28560354	392.283	1013	NEG	222528
Deoxycholic Acid	391.28551198	390.9948	1014	NEG	222528
Deoxycholic Acid	391.28596977	390.189	1015	NEG	222528
Deoxycholic Acid	391.2855973	460.6398	1016	NEG	222528
Deoxycholic Acid	391.2855973	460.6962	1017	NEG	222528
Deoxycholic Acid	391.2855973	460.7478	1018	NEG	222528
Deoxycholic Acid	391.2855973	460.7988	1019	NEG	222528
Deoxycholic Acid	391.2855973	460.851	1020	NEG	222528
Ursodeoxycholic Acid	391.28551198	390.8388	1021	NEG	31401
Ursodeoxycholic Acid	391.28551198	390.8922	1022	NEG	31401
Deoxycholic Acid	391.28560354	392.283	1023	NEG	222528
Deoxycholic Acid	391.28551198	390.9948	1024	NEG	222528
Deoxycholic Acid	391.28596977	390.189	1025	NEG	222528
Deoxycholic Acid	391.2855973	460.6398	1026	NEG	222528
Deoxycholic Acid	391.2855973	460.6962	1027	NEG	222528
Deoxycholic Acid	391.2855973	460.7478	1028	NEG	222528
Deoxycholic Acid	391.2855973	460.7988	1029	NEG	222528
Deoxycholic Acid	391.2855973	460.851	1030	NEG	222528
Cholic Acid	407.28049368	400.9758	1061	NEG	221493
Cholic Acid	407.28049368	401.0268	1062	NEG	221493
Cholic Acid	407.28049368	401.1018	1063	NEG	221493
Cholic Acid	407.28049368	401.1558	1064	NEG	221493
Cholic Acid	407.28049368	401.2122	1065	NEG	221493
Cholic Acid	407.28049368	400.9758	1066	NEG	221493
Cholic Acid	407.28049368	401.0268	1067	NEG	221493
Cholic Acid	407.28049368	401.1018	1068	NEG	221493
Cholic Acid	407.28049368	401.1558	1069	NEG	221493
Cholic Acid	407.28049368	401.2122	1070	NEG	221493
Cholic Acid	407.28049368	400.9758	1071	NEG	221493
Cholic Acid	407.28049368	401.0268	1072	NEG	221493
Cholic Acid	407.28049368	401.1018	1073	NEG	221493
Cholic Acid	407.28049368	401.1558	1074	NEG	221493
Cholic Acid	407.28049368	401.2122	1075	NEG	221493
Taurolithocholic Acid	482.29433192	433.6368	1241	NEG	439763
Taurolithocholic Acid	482.29433192	433.689	1242	NEG	439763
Taurolithocholic Acid	482.29433192	434.8392	1243	NEG	439763
Taurolithocholic Acid	482.29433192	433.8012	1244	NEG	439763
Taurolithocholic Acid	482.29433192	433.8552	1245	NEG	439763
Taurolithocholic Acid	482.29433192	433.6368	1246	NEG	439763
Taurolithocholic Acid	482.29433192	433.689	1247	NEG	439763
Taurolithocholic Acid	482.29433192	434.8392	1248	NEG	439763
Taurolithocholic Acid	482.29433192	433.8012	1249	NEG	439763
Taurolithocholic Acid	482.29433192	433.8552	1250	NEG	439763
Taurohyodeoxycholic acid	498.28876439	312.8178	1261	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.8688	1262	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.921	1263	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.975	1264	NEG	119046
Taurohyodeoxycholic acid	498.28876439	313.029	1265	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.8178	1266	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.8688	1267	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.921	1268	NEG	119046
Taurohyodeoxycholic acid	498.28876439	312.975	1269	NEG	119046
Taurohyodeoxycholic acid	498.28876439	313.029	1270	NEG	119046
Taurohyocholic Acid	514.28417658	298.9878	1306	NEG	11954195
Taurohyocholic Acid	514.28417658	299.052	1307	NEG	11954195
Taurohyocholic Acid	514.28417658	299.1018	1308	NEG	11954195
Taurohyocholic Acid	514.28417658	299.1528	1309	NEG	11954195
Taurohyocholic Acid	514.28417658	299.2038	1310	NEG	11954195
Taurohyocholic Acid	514.28417658	298.9878	1311	NEG	11954195
Taurohyocholic Acid	514.28417658	299.052	1312	NEG	11954195
Taurohyocholic Acid	514.28417658	299.1018	1313	NEG	11954195
Taurohyocholic Acid	514.28417658	299.1528	1314	NEG	11954195
Taurohyocholic Acid	514.28417658	299.2038	1315	NEG	11954195
12-Hydroxyeicosapentaenoic Acid	317.21236411	460.302	1566	NEG	10041593
12,13-Dihydroxy-Octadecenoic Acid	313.23925153	423.837	1567	NEG	71343147
13-Hydroxyoctadecadienoic Acid	295.22835622	471.3618	1568	NEG	6443013
13,14-Dihydro-15-Keto Prostaglandin D2	351.21776258	367.1358	1569	NEG	5283036
2-Methylglutarate	145.05061592	137.0388	1570	NEG	12046
2-Phosphoglycerate	184.9855797	44.44002	1571	NEG	59
3-Hydroxyglutaric Acid	147.02992741	44.391	1572	NEG	181976
3-Methoxy-4-Hydroxymandelate	197.045624	101.997	1573	NEG	1245
4-Coumarate	163.04021609	203.6532	1574	NEG	637542
8-Hete	319.22797376	485.4768	1575	NEG	11976122
