compound_name	Scan	mzmed	rtmed
Phenylalaine (1)	600	166.08640137	70.245
Phenylalaine (3) L	603	166.08640137	70.4988
Adrenaline_Epinephrine	497	184.09441992	58.81602
Normetanephrine	495	184.09441992	58.647
N-Octanoylglycine (Capryloylglycine)	3403	202.14399999	354.9708
Acetyl-L-Carnitine (1) L	400	204.12294042	49.56198
Acetyl-L-Carnitine (2)	578	204.12304723	68.2542
Xanthurenic acid	1680	206.04497926	179.8452
Propionyl-L-carnitine	1151	218.13867025	129.42
N-acetylserotonin	1905	219.11267077	199.0602
5-hydroxy tryptophan	1235	221.09213778	137.4612
Butyryl-L-carnitine	1582	232.15462554	171.345
Isobutyryl-L-carnitine	1533	232.15451873	165.882
Valeryl-L-carnitine	1768	246.17017014	187.362
Malonyl-L-carnitine	394	248.11252755	49.236
Hexanoyl-L-carnitine	2237	260.18636916	234.8178
Methylmalonyl-L-carnitine	1056	262.12850098	119.7582
O-Succinyl-L-carnitine	1065	262.12825684	120.6468
O-octanoyl-L-Carnitine	2924	288.21917287	306.942
3-Me-Glutaryl Carnitine	1344	290.15962651	148.9872
L-Argininosuccinic acid	332	291.12960956	43.40802
Decanoyl-L-carnitine	3622	316.24794856	375.1362
trans-2-Dodecenoyl-L-carnitine	3921	342.26610399	401.367
Tetradecandienoyl-L-carnitine	3992	368.28075936	407.136
Myristoyl-L-carnitine	4499	372.3113461	452.5038
Palmitoyl-L-carnitine chloride	4965	400.34509445	490.359
Oleoyl-L-carnitine	5052	426.35985604	497.3838
Stearoyl-L-carnitine	5311	428.37580464	519.1782
Glycolithocholic Acid	5121	434.32626808	502.152
(3R)-3-Hydroxyoleyl-L-carnitine	4107	442.35252961	419.058
Arachidonyl-L-carnitine	5407	448.34205264	526.173
Glycochenodeoxycholic Acid	3747	450.32123407	387.3822
Glycodeoxycholic acid	3727	450.32150873	385.8168
Phenylalaine (1)	601	166.08640137	70.3302
Phenylalaine (1)	608	166.08630981	71.1378
Phenylalaine (3) L	604	166.08640137	70.584
Phenylalaine (1)	603	166.08640137	70.4988
Phenylalaine (1)	604	166.08640137	70.584
Normetanephrine	496	184.09441992	58.731
Adrenaline_Epinephrine	498	184.09441992	58.90002
Adrenaline_Epinephrine	499	184.09441992	58.98498
Adrenaline_Epinephrine	495	184.09441992	58.647
Adrenaline_Epinephrine	496	184.09441992	58.731
Adrenaline_Epinephrine	354	184.09432837	45.26298
Adrenaline_Epinephrine	367	184.09437414	46.78602
Adrenaline_Epinephrine	368	184.09437414	46.87098
